Country,"Country ISO",Region,"Region ISO",Population,2024-07-23,2024-07-24,2024-07-25,2024-07-26,2024-07-27,2024-07-28,2024-07-29,2024-07-30,2024-07-31,2024-08-01,2024-08-02,2024-08-03,2024-08-04,2024-08-05,2024-08-06,2024-08-07,2024-08-08,2024-08-09,2024-08-10,2024-08-11,2024-08-12,2024-08-13
Ireland,IE,,,4904240,0/0/1748451/0/9723,0/0/1748451/0/9723,0/0/1748451/0/9723,0/0/1748451/0/9723,0/0/1749357/0/9726,0/0/1744327/0/9735,0/0/1744327/0/9735,0/0/1744327/0/9735,0/0/1744327/0/9735,0/0/1744327/0/9735,0/0/1744327/0/9735,0/0/1745088/0/9744,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
Israel,IL,,,7353985,0/0/4841558/0/12707,0/0/4841558/0/12707,0/0/4841558/0/12707,0/0/4841558/0/12707,0/0/4841558/0/12707,0/0/4841558/0/12707,0/0/4841558/0/12707,0/0/4841558/0/12707,0/0/4841558/0/12707,0/0/4841558/0/12707,0/0/4841558/0/12707,0/0/4841558/0/12707,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
Italy,IT,,,60359546,0/0/26759053/0/197267,0/0/26759053/0/197267,0/0/26759053/0/197267,0/0/26759053/0/197267,0/0/26774728/0/197301,0/0/26774728/0/197301,0/0/26774728/0/197301,0/0/26774728/0/197301,0/0/26774728/0/197301,0/0/26774728/0/197301,0/0/26774728/0/197301,0/0/26781078/0/197307,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
Jamaica,JM,,,2847232,0/0/157148/0/3611,0/0/157148/0/3611,0/0/157148/0/3611,0/0/157148/0/3611,0/0/157165/0/3611,0/0/157169/0/3611,0/0/157169/0/3611,0/0/157169/0/3611,0/0/157169/0/3611,0/0/157169/0/3611,0/0/157169/0/3611,0/0/157181/0/3611,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
Japan,JP,,,127288000,0/0/33803572/0/74694,0/0/33803572/0/74694,0/0/33803572/0/74694,0/0/33803572/0/74694,0/0/33803572/0/74694,0/0/33803572/0/74694,0/0/33803572/0/74694,0/0/33803572/0/74694,0/0/33803572/0/74694,0/0/33803572/0/74694,0/0/33803572/0/74694,0/0/33803572/0/74694,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
Jersey,JE,,,90812,0/0/66391/0/161,0/0/66391/0/161,0/0/66391/0/161,0/0/66391/0/161,0/0/66391/0/161,0/0/66391/0/161,0/0/66391/0/161,0/0/66391/0/161,0/0/66391/0/161,0/0/66391/0/161,0/0/66391/0/161,0/0/66391/0/161,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
Jordan,JO,,,6407085,0/0/1746997/0/14122,0/0/1746997/0/14122,0/0/1746997/0/14122,0/0/1746997/0/14122,0/0/1746997/0/14122,0/0/1746997/0/14122,0/0/1746997/0/14122,0/0/1746997/0/14122,0/0/1746997/0/14122,0/0/1746997/0/14122,0/0/1746997/0/14122,0/0/1746997/0/14122,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
Kazakhstan,KZ,,,15340000,0/0/1504370/0/19072,0/0/1504370/0/19072,0/0/1504370/0/19072,0/0/1504370/0/19072,0/0/1504370/0/19072,0/0/1504370/0/19072,0/0/1504370/0/19072,0/0/1504370/0/19072,0/0/1504370/0/19072,0/0/1504370/0/19072,0/0/1504370/0/19072,0/0/1504370/0/19072,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
Kenya,KE,,,40046566,0/0/344105/0/5689,0/0/344105/0/5689,0/0/344105/0/5689,0/0/344105/0/5689,0/0/344105/0/5689,0/0/344106/0/5689,0/0/344106/0/5689,0/0/344106/0/5689,0/0/344106/0/5689,0/0/344106/0/5689,0/0/344106/0/5689,0/0/344106/0/5689,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
Kiribati,KI,,,92533,0/0/5085/0/24,0/0/5085/0/24,0/0/5085/0/24,0/0/5085/0/24,0/0/5085/0/24,0/0/5085/0/24,0/0/5085/0/24,0/0/5085/0/24,0/0/5085/0/24,0/0/5085/0/24,0/0/5085/0/24,0/0/5085/0/24,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
"Korea, North",KP,,,22912177,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
"Korea, South",KR,,,48422644,0/0/34571873/0/35934,0/0/34571873/0/35934,0/0/34571873/0/35934,0/0/34571873/0/35934,0/0/34571873/0/35934,0/0/34571873/0/35934,0/0/34571873/0/35934,0/0/34571873/0/35934,0/0/34571873/0/35934,0/0/34571873/0/35934,0/0/34571873/0/35934,0/0/34571873/0/35934,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
Kosovo,XK,,,1795666,0/0/274279/0/3212,0/0/274279/0/3212,0/0/274279/0/3212,0/0/274279/0/3212,0/0/274279/0/3212,0/0/274279/0/3212,0/0/274279/0/3212,0/0/274279/0/3212,0/0/274279/0/3212,0/0/274279/0/3212,0/0/274279/0/3212,0/0/274279/0/3212,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
Kuwait,KW,,,2789132,0/0/667290/0/2570,0/0/667290/0/2570,0/0/667290/0/2570,0/0/667290/0/2570,0/0/667290/0/2570,0/0/667290/0/2570,0/0/667290/0/2570,0/0/667290/0/2570,0/0/667290/0/2570,0/0/667290/0/2570,0/0/667290/0/2570,0/0/667290/0/2570,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
Kyrgyzstan,KG,,,5776500,0/0/88953/0/1024,0/0/88953/0/1024,0/0/88953/0/1024,0/0/88953/0/1024,0/0/88953/0/1024,0/0/88953/0/1024,0/0/88953/0/1024,0/0/88953/0/1024,0/0/88953/0/1024,0/0/88953/0/1024,0/0/88953/0/1024,0/0/88953/0/1024,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
Laos,LA,,,6368162,0/0/219060/0/671,0/0/219060/0/671,0/0/219060/0/671,0/0/219060/0/671,0/0/219060/0/671,0/0/219060/0/671,0/0/219060/0/671,0/0/219060/0/671,0/0/219060/0/671,0/0/219060/0/671,0/0/219060/0/671,0/0/219060/0/671,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
Latvia,LV,,,1919968,0/0/977765/0/7475,0/0/977765/0/7475,0/0/977765/0/7475,0/0/977765/0/7475,0/0/977765/0/7475,0/0/977765/0/7475,0/0/977765/0/7475,0/0/977765/0/7475,0/0/977765/0/7475,0/0/977765/0/7475,0/0/977765/0/7475,0/0/977765/0/7475,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
Lebanon,LB,,,4125247,0/0/1239904/0/10947,0/0/1239904/0/10947,0/0/1239904/0/10947,0/0/1239904/0/10947,0/0/1239904/0/10947,0/0/1239904/0/10947,0/0/1239904/0/10947,0/0/1239904/0/10947,0/0/1239904/0/10947,0/0/1239904/0/10947,0/0/1239904/0/10947,0/0/1239904/0/10947,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
Lesotho,LS,,,1919552,0/0/36138/0/709,0/0/36138/0/709,0/0/36138/0/709,0/0/36138/0/709,0/0/36138/0/709,0/0/36138/0/709,0/0/36138/0/709,0/0/36138/0/709,0/0/36138/0/709,0/0/36138/0/709,0/0/36138/0/709,0/0/36138/0/709,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
Liberia,LR,,,3685076,0/0/7930/0/294,0/0/7930/0/294,0/0/7930/0/294,0/0/7930/0/294,0/0/7930/0/294,0/0/7930/0/294,0/0/7930/0/294,0/0/7930/0/294,0/0/7930/0/294,0/0/7930/0/294,0/0/7930/0/294,0/0/7930/0/294,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
Libya,LY,,,6461454,0/0/507269/0/6437,0/0/507269/0/6437,0/0/507269/0/6437,0/0/507269/0/6437,0/0/507269/0/6437,0/0/507269/0/6437,0/0/507269/0/6437,0/0/507269/0/6437,0/0/507269/0/6437,0/0/507269/0/6437,0/0/507269/0/6437,0/0/507269/0/6437,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
Liechtenstein,LI,,,38378,0/0/21587/0/89,0/0/21587/0/89,0/0/21587/0/89,0/0/21587/0/89,0/0/21587/0/89,0/0/21588/0/89,0/0/21588/0/89,0/0/21588/0/89,0/0/21588/0/89,0/0/21588/0/89,0/0/21588/0/89,0/0/21588/0/89,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
Lithuania,LT,,,2794184,0/0/1367900/0/9809,1958298/0/1367900/0/9809,0/0/1367900/0/9809,0/0/1367900/0/9809,0/0/1368548/0/9810,0/0/1368548/0/9810,1958299/0/1368548/0/9810,1958299/0/1368548/0/9810,1958299/0/1368548/0/9810,1958299/0/1368548/0/9810,0/0/1368548/0/9810,0/0/1369355/0/9810,0/0/0/0/0,1958299/0/0/0/0,0/0/0/0/0,1958299/0/0/0/0,1958299/0/0/0/0,0/0/0/0/0,0/0/0/0/0,1958299/0/0/0/0,1958300/0/0/0/0,1958300/0/0/0/0
Luxembourg,LU,,,613894,0/0/393140/0/1000,0/0/393140/0/1000,0/0/393140/0/1000,0/0/393140/0/1000,0/0/393352/0/1000,0/0/393352/0/1000,0/0/393352/0/1000,0/0/393352/0/1000,0/0/393352/0/1000,0/0/393352/0/1000,0/0/393352/0/1000,0/0/393542/0/1000,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
"MS Zaandam",,,,1829,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
Macao,MO,,,449198,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
Madagascar,MG,,,21281844,0/0/68566/0/1428,0/0/68566/0/1428,0/0/68566/0/1428,0/0/68566/0/1428,0/0/68566/0/1428,0/0/68567/0/1428,0/0/68567/0/1428,0/0/68567/0/1428,0/0/68567/0/1428,0/0/68567/0/1428,0/0/68567/0/1428,0/0/68567/0/1428,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
Malawi,MW,,,15447500,0/0/89168/0/2686,0/0/89168/0/2686,0/0/89168/0/2686,0/0/89168/0/2686,0/0/89168/0/2686,0/0/89168/0/2686,0/0/89168/0/2686,0/0/89168/0/2686,0/0/89168/0/2686,0/0/89168/0/2686,0/0/89168/0/2686,0/0/89168/0/2686,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
Malaysia,MY,,,28274729,28138532/0/5306834/0/37351,28138537/0/5306834/0/37351,28138537/0/5306834/0/37351,28138537/0/5306834/0/37351,28138539/0/5306834/0/37351,28138544/0/5308325/0/37351,28138546/0/5308325/0/37351,28138546/0/5308325/0/37351,28138547/0/5308325/0/37351,28138550/0/5308325/0/37351,28138550/0/5308325/0/37351,28138552/0/5309410/0/37351,28138552/0/0/0/0,28138556/0/0/0/0,28138556/0/0/0/0,28138560/0/0/0/0,28138563/0/0/0/0,28138564/0/0/0/0,28138564/0/0/0/0,0/0/0/0/0,28138565/0/0/0/0,28138569/0/0/0/0
Maldives,MV,,,395650,0/0/186694/0/316,0/0/186694/0/316,0/0/186694/0/316,0/0/186694/0/316,0/0/186694/0/316,0/0/186694/0/316,0/0/186694/0/316,0/0/186694/0/316,0/0/186694/0/316,0/0/186694/0/316,0/0/186694/0/316,0/0/186694/0/316,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
Mali,ML,,,13796354,0/0/33166/0/743,0/0/33166/0/743,0/0/33166/0/743,0/0/33166/0/743,0/0/33166/0/743,0/0/33166/0/743,0/0/33166/0/743,0/0/33166/0/743,0/0/33166/0/743,0/0/33166/0/743,0/0/33166/0/743,0/0/33166/0/743,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
Malta,MT,,,493559,0/0/122577/0/918,0/0/122577/0/918,0/0/122577/0/918,0/0/122577/0/918,0/0/122716/0/921,0/0/122716/0/921,0/0/122716/0/921,0/0/122716/0/921,0/0/122716/0/921,0/0/122716/0/921,0/0/122716/0/921,0/0/122796/0/922,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
"Marshall Islands",MH,,,65859,0/0/16252/0/17,0/0/16252/0/17,0/0/16252/0/17,0/0/16252/0/17,0/0/16252/0/17,0/0/16297/0/17,0/0/16297/0/17,0/0/16297/0/17,0/0/16297/0/17,0/0/16297/0/17,0/0/16297/0/17,0/0/16297/0/17,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
Martinique,MQ,,,432900,0/0/230354/0/1104,0/0/230354/0/1104,0/0/230354/0/1104,0/0/230354/0/1104,0/0/230354/0/1104,0/0/230354/0/1104,0/0/230354/0/1104,0/0/230354/0/1104,0/0/230354/0/1104,0/0/230354/0/1104,0/0/230354/0/1104,0/0/230354/0/1104,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
Mauritania,MR,,,3205060,0/0/63872/0/997,0/0/63872/0/997,0/0/63872/0/997,0/0/63872/0/997,0/0/63872/0/997,0/0/63872/0/997,0/0/63872/0/997,0/0/63872/0/997,0/0/63872/0/997,0/0/63872/0/997,0/0/63872/0/997,0/0/63872/0/997,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
Mauritius,MU,,,1294104,0/0/328167/0/1073,0/0/328167/0/1073,0/0/328167/0/1073,0/0/328167/0/1073,0/0/328167/0/1073,0/0/328167/0/1073,0/0/328167/0/1073,0/0/328167/0/1073,0/0/328167/0/1073,0/0/328167/0/1073,0/0/328167/0/1073,0/0/328167/0/1073,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
Mayotte,YT,,,159042,0/0/42027/0/187,0/0/42027/0/187,0/0/42027/0/187,0/0/42027/0/187,0/0/42027/0/187,0/0/42027/0/187,0/0/42027/0/187,0/0/42027/0/187,0/0/42027/0/187,0/0/42027/0/187,0/0/42027/0/187,0/0/42027/0/187,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
Mexico,MX,,,112468855,0/0/7618227/0/334533,0/0/7618227/0/334533,0/0/7618227/0/334533,0/0/7618227/0/334533,0/0/7618633/0/334537,0/0/7619118/0/334551,0/0/7619118/0/334551,0/0/7619118/0/334551,0/0/7619118/0/334551,0/0/7619118/0/334551,0/0/7619118/0/334551,0/0/7619458/0/334551,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
Micronesia,FM,,,107708,0/0/26460/0/65,0/0/26460/0/65,0/0/26460/0/65,0/0/26460/0/65,0/0/26460/0/65,0/0/31765/0/65,0/0/31765/0/65,0/0/31765/0/65,0/0/31765/0/65,0/0/31765/0/65,0/0/31765/0/65,0/0/31765/0/65,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
Moldova,MD,,,3547539,0/0/636266/0/12241,0/0/636266/0/12241,0/0/636266/0/12241,0/0/636266/0/12241,0/0/636777/0/12243,0/0/636777/0/12243,0/0/636777/0/12243,0/0/636777/0/12243,0/0/636777/0/12243,0/0/636777/0/12243,0/0/636777/0/12243,0/0/637520/0/12245,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
Monaco,MC,,,38300,0/0/17181/0/67,0/0/17181/0/67,0/0/17181/0/67,0/0/17181/0/67,0/0/17181/0/67,0/0/17181/0/67,0/0/17181/0/67,0/0/17181/0/67,0/0/17181/0/67,0/0/17181/0/67,0/0/17181/0/67,0/0/17181/0/67,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
Mongolia,MN,,,3086918,0/0/1011489/0/2136,0/0/1011489/0/2136,0/0/1011489/0/2136,0/0/1011489/0/2136,0/0/1011489/0/2136,0/0/1011489/0/2136,0/0/1011489/0/2136,0/0/1011489/0/2136,0/0/1011489/0/2136,0/0/1011489/0/2136,0/0/1011489/0/2136,0/0/1011489/0/2136,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
Montenegro,ME,,,622182,0/0/251280/0/2654,0/0/251280/0/2654,0/0/251280/0/2654,0/0/251280/0/2654,0/0/251280/0/2654,0/0/251280/0/2654,0/0/251280/0/2654,0/0/251280/0/2654,0/0/251280/0/2654,0/0/251280/0/2654,0/0/251280/0/2654,0/0/251280/0/2654,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
Morocco,MA,,,31627428,0/0/1279115/0/16305,0/0/1279115/0/16305,0/0/1279115/0/16305,0/0/1279115/0/16305,0/0/1279115/0/16305,0/0/1279115/0/16305,0/0/1279115/0/16305,0/0/1279115/0/16305,0/0/1279115/0/16305,0/0/1279115/0/16305,0/0/1279115/0/16305,0/0/1279115/0/16305,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
Mozambique,MZ,,,22061451,0/0/233842/0/2252,0/0/233842/0/2252,0/0/233842/0/2252,0/0/233842/0/2252,0/0/233842/0/2252,0/0/233843/0/2252,0/0/233843/0/2252,0/0/233843/0/2252,0/0/233843/0/2252,0/0/233843/0/2252,0/0/233843/0/2252,0/0/233843/0/2252,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
Namibia,NA,,,2128471,0/0/172532/0/4108,0/0/172532/0/4108,0/0/172532/0/4108,0/0/172532/0/4108,0/0/172532/0/4108,0/0/172533/0/4108,0/0/172533/0/4108,0/0/172533/0/4108,0/0/172533/0/4108,0/0/172533/0/4108,0/0/172533/0/4108,0/0/172533/0/4108,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
Nauru,NR,,,10065,0/0/5393/0/1,0/0/5393/0/1,0/0/5393/0/1,0/0/5393/0/1,0/0/5393/0/1,0/0/5393/0/1,0/0/5393/0/1,0/0/5393/0/1,0/0/5393/0/1,0/0/5393/0/1,0/0/5393/0/1,0/0/5393/0/1,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
Nepal,NP,,,28951852,0/0/1003450/0/12031,0/0/1003450/0/12031,0/0/1003450/0/12031,0/0/1003450/0/12031,0/0/1003450/0/12031,0/0/1003450/0/12031,0/0/1003450/0/12031,0/0/1003450/0/12031,0/0/1003450/0/12031,0/0/1003450/0/12031,0/0/1003450/0/12031,0/0/1003450/0/12031,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
Netherlands,NL,,,17282163,0/0/8639175/0/22986,0/0/8639175/0/22986,0/0/8639175/0/22986,0/0/8639175/0/22986,0/0/8639625/0/22986,0/0/8639625/0/22986,0/0/8639625/0/22986,0/0/8639625/0/22986,0/0/8639625/0/22986,0/0/8639625/0/22986,0/0/8639625/0/22986,0/0/8640008/0/22986,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
Netherlands,NL,Aruba,AW-AW,112309,0/0/44224/0/292,0/0/44224/0/292,0/0/44224/0/292,0/0/44224/0/292,0/0/44224/0/292,0/0/44224/0/292,0/0/44224/0/292,0/0/44224/0/292,0/0/44224/0/292,0/0/44224/0/292,0/0/44224/0/292,0/0/44224/0/292,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
Netherlands,NL,"Bonaire, Sint Eustatius and Saba",NL-BQ,25157,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
Netherlands,NL,Curacao,NL-CW,158665,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
Netherlands,NL,Drenthe,NL-DR,493449,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
