Country,"Country ISO",Region,"Region ISO",Population,2024-07-23,2024-07-24,2024-07-25,2024-07-26,2024-07-27,2024-07-28,2024-07-29,2024-07-30,2024-07-31,2024-08-01,2024-08-02,2024-08-03,2024-08-04,2024-08-05,2024-08-06,2024-08-07,2024-08-08,2024-08-09,2024-08-10,2024-08-11,2024-08-12,2024-08-13
"Bosnia and Herzegovina",BA,,,3502550,0/0/403662/0/16391,0/0/403662/0/16391,0/0/403662/0/16391,0/0/403662/0/16391,0/0/403666/0/16392,0/0/403666/0/16392,0/0/403666/0/16392,0/0/403666/0/16392,0/0/403666/0/16392,0/0/403666/0/16392,0/0/403666/0/16392,0/0/403666/0/16392,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
Botswana,BW,,,2029307,0/0/330696/0/2801,0/0/330696/0/2801,0/0/330696/0/2801,0/0/330696/0/2801,0/0/330696/0/2801,0/0/330696/0/2801,0/0/330696/0/2801,0/0/330696/0/2801,0/0/330696/0/2801,0/0/330696/0/2801,0/0/330696/0/2801,0/0/330696/0/2801,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
Brazil,BR,,,201103330,0/0/37511921/0/702116,0/0/37511921/0/702116,0/0/37511921/0/702116,0/0/37511921/0/702116,0/0/37511921/0/702116,0/0/37511921/0/702116,0/0/37511921/0/702116,0/0/37511921/0/702116,0/0/37511921/0/702116,0/0/37511921/0/702116,0/0/37511921/0/702116,0/0/37511921/0/702116,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
Brunei,BN,,,395027,0/0/347069/0/178,0/0/347069/0/178,0/0/347069/0/178,0/0/347069/0/178,0/0/347435/0/178,0/0/347435/0/178,0/0/347435/0/178,0/0/347435/0/178,0/0/347435/0/178,0/0/347435/0/178,0/0/347435/0/178,0/0/347723/0/179,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
Bulgaria,BG,,,7000039,0/0/1329588/0/38700,0/0/1329588/0/38700,0/0/1329588/0/38700,0/0/1329588/0/38700,0/0/1329731/0/38700,0/0/1329731/0/38700,0/0/1329731/0/38700,0/0/1329731/0/38700,0/0/1329731/0/38700,0/0/1329731/0/38700,0/0/1329731/0/38700,0/0/1329988/0/38700,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
"Burkina Faso",BF,,,16241811,0/0/22139/0/400,0/0/22139/0/400,0/0/22139/0/400,0/0/22139/0/400,0/0/22139/0/400,0/0/22139/0/400,0/0/22139/0/400,0/0/22139/0/400,0/0/22139/0/400,0/0/22139/0/400,0/0/22139/0/400,0/0/22139/0/400,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
Burma,MM,,,53414374,0/0/642839/0/19494,0/0/642839/0/19494,0/0/642839/0/19494,0/0/642839/0/19494,0/0/642859/0/19494,0/0/642859/0/19494,0/0/642859/0/19494,0/0/642859/0/19494,0/0/642859/0/19494,0/0/642859/0/19494,0/0/642859/0/19494,0/0/642885/0/19494,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
Burundi,BI,,,9863117,0/0/54569/0/15,0/0/54569/0/15,0/0/54569/0/15,0/0/54569/0/15,0/0/54569/0/15,0/0/54569/0/15,0/0/54569/0/15,0/0/54569/0/15,0/0/54569/0/15,0/0/54569/0/15,0/0/54569/0/15,0/0/54569/0/15,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
"Cabo Verde",CV,,,508659,0/0/64474/0/417,0/0/64474/0/417,0/0/64474/0/417,0/0/64474/0/417,0/0/64474/0/417,0/0/64474/0/417,0/0/64474/0/417,0/0/64474/0/417,0/0/64474/0/417,0/0/64474/0/417,0/0/64474/0/417,0/0/64474/0/417,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
Cambodia,KH,,,14453680,0/0/139310/0/3056,0/0/139310/0/3056,0/0/139310/0/3056,0/0/139310/0/3056,0/0/139313/0/3056,0/0/139313/0/3056,0/0/139313/0/3056,0/0/139313/0/3056,0/0/139313/0/3056,0/0/139313/0/3056,0/0/139313/0/3056,0/0/139319/0/3056,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
