Country,"Country ISO",Region,"Region ISO",Population,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05
Azerbaijan,AZ,,,9981457,5348193/6890579/792767/0/9713,5355145/6947820/793176/0/9717,5366777/0/798838/0/9748,5373253/0/813437/0/9805,0/0/821440/0/9917,0/0/823258/0/9944,0/0/824337/0/9980,0/0/826401/0/10008,0/0/827944/0/10085,0/0/828548/0/10119,0/0/829724/0/10182,0/0/831380/0/10241,0/0/831834/0/10274,0/0/831938/0/10282,0/0/832021/0/10290,0/0/832182/0/10300,0/0/833189/0/10332,0/0/833955/0/10353,0/0/834135/0/10367,0/0/834183/0/10353,0/0/834470/0/10353,0/0/834916/0/10353,0/0/835272/0/10353,0/0/835327/0/10353,0/0/0/0/0
Bahamas,BS,,,301790,0/237257/34759/0/810,0/241200/35975/0/817,166471/0/36724/0/822,172041/0/37075/0/823,173208/0/37290/0/833,173529/0/37386/0/833,174147/0/37483/0/833,0/0/37491/0/833,0/0/37491/0/833,0/0/37491/0/833,0/0/37491/0/833,0/0/38084/0/844,174810/0/38084/0/844,0/0/38084/0/844,0/0/38084/0/844,0/0/38084/0/844,0/0/38084/0/844,0/0/38084/0/844,0/0/38084/0/844,0/0/38084/0/844,0/0/38084/0/844,0/0/38084/0/844,0/0/38084/0/844,0/0/38084/0/844,0/0/0/0/0
Bahrain,BH,,,738004,1236935/9841317/585665/0/1488,1238413/9969082/625856/0/1492,1239354/0/659647/0/1509,1240227/0/671697/0/1515,1240615/0/680559/0/1520,1240903/0/690187/0/1528,1241099/0/696332/0/1536,1241174/0/698737/0/1539,0/0/700452/0/1543,0/0/707480/0/1548,0/0/696614/0/1536,0/0/696614/0/1536,0/0/696614/0/1536,0/0/696614/0/1536,0/0/696614/0/1536,0/0/696614/0/1536,0/0/696614/0/1536,0/0/696614/0/1536,0/0/696614/0/1536,0/0/696614/0/1536,0/0/696614/0/1536,0/0/696614/0/1536,0/0/696614/0/1536,0/0/696614/0/1536,0/0/0/0/0
Bangladesh,BD,,,156118464,129000128/13778119/1953507/0/29131,129343045/13820904/1973789/0/29149,130065446/0/2005257/0/29291,130618611/0/2011946/0/29323,132068293/0/2025197/0/29363,140109254/0/2035240/0/29423,148052616/0/2036585/0/29433,149140663/0/2037125/0/29440,150956628/0/2037556/0/29442,151190373/0/2037773/0/29445,151294692/0/2038032/0/29446,151320850/0/2038245/0/29446,151341385/0/2039417/0/29446,151381502/0/2042660/0/29462,151480034/0/2044532/0/29473,151501985/0/2045377/0/29476,151504270/0/2045734/0/29477,151504403/0/2045923/0/29477,0/0/2046082/0/29477,0/0/2046312/0/29477,151504434/0/2046998/0/29481,151504474/0/2048232/0/29489,151505638/0/2049519/0/29493,151507133/0/2049850/0/29494,151507142/0/0/0/0
Barbados,BB,,,285653,162417/682320/80654/0/450,162619/697476/84421/0/477,162960/0/92086/0/493,163212/0/101120/0/542,163631/0/102580/0/560,163707/0/103014/0/560,163777/0/104416/0/567,163820/0/105515/0/568,163833/0/106157/0/571,163833/0/106645/0/575,163833/0/106798/0/579,163845/0/107466/0/588,163845/0/107794/0/593,163846/0/107794/0/593,0/0/109503/0/620,0/0/109503/0/620,0/0/110023/0/620,0/0/110091/0/620,0/0/110132/0/593,0/0/110153/0/593,0/0/110375/0/593,0/0/108047/0/593,0/0/110580/0/593,0/0/110592/0/593,0/0/0/0/0
Belarus,BY,,,9475174,6388371/0/982867/0/6978,6425755/0/982867/0/6978,6473443/0/994037/0/7118,6579060/0/994037/0/7118,6505785/0/994037/0/7118,6512419/0/994037/0/7118,6517478/0/994037/0/7118,6518021/0/994037/0/7118,6528944/0/994037/0/7118,0/0/994037/0/7118,0/0/994037/0/7118,0/0/994037/0/7118,0/0/994037/0/7118,0/0/994037/0/7118,0/0/994037/0/7118,0/0/994037/0/7118,0/0/994037/0/7118,0/0/994037/0/7118,0/0/994037/0/7118,0/0/994037/0/7118,0/0/994037/0/7118,0/0/994037/0/7118,0/0/994037/0/7118,0/0/994037/0/7118,0/0/0/0/0
Belgium,BE,,,11455519,9244425/34127404/4152558/0/31754,9248494/34315605/4246078/0/31918,9251910/0/4414255/0/32228,9254789/0/4482315/0/32516,9257290/0/4544505/0/32673,9260974/0/4612239/0/32902,9263009/0/4639411/0/33061,9264172/0/4668248/0/33228,9265242/0/4691499/0/33557,9265784/0/4717655/0/33717,9266175/0/4776837/0/34059,9266425/0/4793425/0/34237,9266641/0/4799760/0/34350,9266733/0/4801724/0/34375,9266432/0/4802496/0/34376,9266465/0/4807469/0/34339,9267479/0/4817196/0/34339,0/0/4817196/0/34339,0/0/4829921/0/34339,0/0/4841934/0/34339,0/0/4855952/0/34339,0/0/4859522/0/34339,0/0/4861011/0/34339,0/0/4861393/0/34339,0/0/0/0/0
Belize,BZ,,,314522,0/563789/59365/0/677,247975/572900/63966/0/680,249521/0/67111/0/680,250117/0/68302/0/680,251025/0/68854/0/686,251358/0/68943/0/687,251760/0/69048/0/688,251813/0/69946/0/688,251881/0/70660/0/688,251908/0/70757/0/688,251960/0/70782/0/688,258473/0/70782/0/688,0/0/70782/0/688,0/0/70782/0/688,0/0/70782/0/688,0/0/70782/0/688,0/0/71060/0/688,0/0/71060/0/688,0/0/71373/0/688,0/0/71373/0/688,0/0/71381/0/688,0/0/70804/0/688,0/0/71409/0/688,0/0/71409/0/688,0/0/0/0/0
Benin,BJ,,,9056010,0/0/26952/0/163,3174135/0/27216/0/163,3174135/0/27316/0/163,3201065/0/27490/0/163,3205878/0/27638/0/163,3207889/0/27782/0/163,3209393/0/27980/0/163,3697190/0/27982/0/163,0/0/27989/0/163,0/0/27990/0/163,0/0/27999/0/163,0/0/28014/0/163,0/0/28014/0/163,0/0/28014/0/163,0/0/28014/0/163,0/0/28014/0/163,0/0/28036/0/163,0/0/28036/0/163,0/0/28036/0/163,0/0/28036/0/163,0/0/28036/0/163,0/0/28036/0/163,0/0/28036/0/163,0/0/28036/0/163,0/0/0/0/0
Bhutan,BT,,,699847,692775/0/59628/0/21,692909/0/59729/0/21,694208/0/60368/0/21,695674/0/61076/0/21,697310/0/61969/0/21,699116/0/62380/0/21,0/0/62503/0/21,0/0/62524/0/21,0/0/62605/0/21,0/0/62615/0/21,0/0/62648/0/21,0/0/62666/0/21,0/0/62671/0/21,0/0/62673/0/21,0/0/62691/0/21,0/0/62697/0/21,0/0/62697/0/21,0/0/62697/0/21,0/0/62697/0/21,0/0/62697/0/21,0/0/62697/0/21,0/0/62697/0/21,0/0/62697/0/21,0/0/62697/0/21,0/0/0/0/0
Bolivia,BO,,,9947418,7205244/4337339/908862/0/21948,7245721/4440371/926718/0/21953,7294614/0/1037500/0/22061,7329134/0/1101652/0/22198,7358213/0/1108262/0/22237,7361008/0/1109447/0/22239,0/0/1111086/0/22247,0/0/1161018/0/22299,0/0/1187986/0/22346,0/0/1193009/0/22365,0/0/1195813/0/22374,0/0/1197239/0/22377,0/0/1198858/0/22384,0/0/1202710/0/22390,0/0/1206420/0/22399,0/0/1206420/0/22399,0/0/1208716/0/22404,0/0/1209431/0/22404,0/0/1209626/0/22407,0/0/1211716/0/22385,0/0/1211716/0/22385,0/0/1198017/0/22383,0/0/1212131/0/22387,0/0/1212131/0/22387,0/0/0/0/0
"Bosnia and Herzegovina",BA,,,3502550,0/0/377904/0/15788,0/0/378716/0/15806,0/0/384976/0/15853,0/0/395850/0/16050,0/0/398750/0/16137,0/0/399963/0/16174,0/0/400548/0/16202,0/0/400992/0/16227,0/0/401384/0/16255,0/0/401575/0/16278,0/0/402531/0/16325,0/0/402848/0/16337,0/0/402998/0/16347,0/0/403047/0/16350,0/0/403053/0/16352,0/0/403070/0/16352,0/0/403155/0/16354,0/0/403266/0/16362,0/0/403355/0/16369,0/0/403468/0/16378,0/0/403565/0/16382,0/0/403601/0/16386,0/0/403627/0/16388,0/0/403637/0/16388,0/0/0/0/0
Botswana,BW,,,2029307,2172381/0/308126/0/2697,1696430/0/322769/0/2750,1696430/0/325470/0/2770,1696430/0/325864/0/2778,1504246/0/326308/0/2789,1589621/0/326344/0/2790,1683867/0/326633/0/2790,1691984/0/327860/0/2794,0/0/329227/0/2800,1931675/0/329727/0/2801,1948922/0/329830/0/2795,1950403/0/329852/0/2796,1951054/0/329938/0/2797,0/0/330077/0/2797,0/0/330176/0/2799,0/0/330251/0/2800,0/0/330275/0/2800,0/0/330321/0/2800,0/0/330397/0/2800,0/0/330417/0/2800,0/0/330417/0/2800,0/0/330417/0/2800,0/0/330643/0/2801,0/0/330650/0/2801,0/0/0/0/0
Brazil,BR,,,201103330,183925335/0/31019038/0/666676,184737131/0/32358018/0/671416,185208286/0/33833900/0/678514,186542426/0/34429853/0/683965,187327659/0/34672524/0/686036,187385670/0/34828749/0/688157,188065384/0/35227599/0/689665,188553963/0/36331281/0/693853,189047444/0/36824580/0/697074,189377950/0/37052936/0/699087,189643431/0/37258663/0/700239,0/0/37449418/0/701494,0/0/37579028/0/702664,0/0/37656050/0/703719,0/0/37717062/0/704659,0/0/37717062/0/704659,0/0/37721749/0/704659,0/0/37721749/0/704659,0/0/37519960/0/702116,0/0/37519960/0/702116,0/0/37519960/0/702116,0/0/37519960/0/702116,0/0/37519960/0/702116,0/0/37519960/0/702116,0/0/0/0/0
Brunei,BN,,,395027,0/0/148674/0/223,444293/0/163900/0/225,0/0/205890/0/225,449149/0/220245/0/225,449769/0/227756/0/225,450174/0/237656/0/225,450404/0/257921/0/225,0/0/266819/0/225,450849/0/276067/0/225,450931/0/277992/0/225,450944/0/283345/0/151,451032/0/288051/0/157,0/0/307686/0/161,451149/0/308777/0/161,0/0/310019/0/163,0/0/310522/0/163,0/0/311449/0/163,0/0/312524/0/163,0/0/315733/0/164,0/0/330776/0/171,0/0/342260/0/178,0/0/343367/0/178,0/0/343770/0/178,0/0/343851/0/178,0/0/0/0/0
Bulgaria,BG,,,7000039,2090328/9996349/1165167/0/37148,2092116/10080207/1172239/0/37255,2093417/0/1206688/0/37377,2099594/0/1242910/0/37603,2101905/0/1259471/0/37718,2103303/0/1279082/0/37880,2104485/0/1287256/0/38039,2104752/0/1292104/0/38108,2106111/0/1295426/0/38179,2106404/0/1296853/0/38217,2107140/0/1300109/0/38260,2107690/0/1304350/0/38328,2108296/0/1307597/0/38385,2108377/0/1298270/0/38366,0/0/1298909/0/38396,0/0/1299930/0/38403,0/0/1302188/0/38414,0/0/1307688/0/38456,0/0/1312102/0/38494,0/0/1321120/0/38613,0/0/1327689/0/38681,0/0/1328764/0/38691,0/0/1329171/0/38700,0/0/1329225/0/38700,0/0/0/0/0
