Country,"Country ISO",Region,"Region ISO",Population,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05
Peru,PE,,,29907003,29370934/0/3580960/0/213195,29526162/0/3626802/0/213509,29690569/0/3909870/0/214303,29821474/0/4103874/0/215762,29892287/0/4144416/0/216575,29993015/0/4156924/0/217012,30118752/0/4252383/0/217414,30206334/0/4458643/0/218232,30276406/0/4481246/0/218931,30337803/0/4486034/0/219439,30411024/0/4492505/0/219776,30473060/0/4501130/0/220122,30495424/0/4507363/0/220673,30503838/0/4512091/0/221043,30511242/0/4517034/0/221364,30520408/0/4517034/0/221364,30532913/0/4520727/0/221704,30546568/0/4522474/0/221727,30562552/0/4520102/0/221564,30563708/0/4536733/0/221583,0/0/4536733/0/221583,0/0/4525908/0/220722,0/0/4524748/0/220831,0/0/4524748/0/220831,0/0/0/0/0
Philippines,PH,,,99900177,0/28472887/3690581/0/60455,75654809/0/3704407/0/60555,76848338/0/3776627/0/60727,77253008/0/3880229/0/61814,77705048/0/3948040/0/62947,78042080/0/4004465/0/64074,78217768/0/4036277/0/64641,78359629/0/4064443/0/65385,78397169/0/4073203/0/65779,78472659/0/4076307/0/66111,78480056/0/4080957/0/66364,0/0/4092158/0/66444,0/0/4142814/0/66466,0/0/4164757/0/66484,0/0/4172920/0/66592,0/0/4109517/0/66661,0/0/4113434/0/66696,0/0/4118381/0/66714,0/0/4123920/0/66755,0/0/4132200/0/66795,0/0/4140383/0/66864,0/0/4140383/0/66864,0/0/4140383/0/66864,0/0/4140383/0/66864,0/0/0/0/0
Pitcairn,PN,,,46,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,47/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/4/0/0,0/0/4/0/0,0/0/4/0/0,0/0/4/0/0,0/0/4/0/0,0/0/4/0/0,0/0/4/0/0,0/0/4/0/0,0/0/4/0/0,0/0/4/0/0,0/0/4/0/0,0/0/4/0/0,0/0/4/0/0,0/0/4/0/0,0/0/4/0/0,0/0/0/0/0
Poland,PL,,,37972812,22723093/36865713/6007584/0/116318,22735900/36962382/6014992/0/116424,22750643/0/6069665/0/116570,22770666/0/6176885/0/117093,22787040/0/6293558/0/117569,22805696/0/6340435/0/118124,22828328/0/6352755/0/118319,22851387/0/6368479/0/118533,22867688/0/6379391/0/118727,22870482/0/6419480/0/118884,22873720/0/6497519/0/119361,22875338/0/6513934/0/119555,22876078/0/6517040/0/119615,22876366/0/6517896/0/119626,22876875/0/6518206/0/119635,22877058/0/6518924/0/119638,22877235/0/6523335/0/119654,22877389/0/6529896/0/119664,22877472/0/6553317/0/119753,0/0/6609092/0/120018,0/0/6653365/0/120577,0/0/6659959/0/120677,0/0/6662019/0/120706,0/0/6662411/0/120709,0/0/0/0/0
Portugal,PT,,,10276617,9716357/42825431/4683018/0/23115,9733429/0/5171236/0/24149,9743550/0/5340612/0/24592,9750657/0/5420140/0/24855,9757422/0/5493540/0/25031,9764280/0/5520731/0/25228,9769041/0/5542265/0/25450,9774433/0/5554058/0/25714,9777719/0/5563907/0/26022,9780727/0/5566708/0/26117,9784089/0/5576139/0/26431,9785912/0/5581619/0/26575,9786029/0/5588874/0/26774,0/0/5593092/0/26899,9789922/0/5596420/0/26979,9791341/0/5610180/0/27247,0/0/5621015/0/27424,0/0/5629824/0/27630,0/0/5631629/0/27702,0/0/5637114/0/27853,0/0/5641992/0/28079,0/0/5642695/0/28112,0/0/5643120/0/28128,0/0/5643357/0/28143,0/0/0/0/0
Qatar,QA,,,840926,2632575/7275468/368788/0/677,2646568/7574423/382635/0/679,2743181/0/408656/0/681,2769649/0/429396/0/681,2806774/0/451168/0/682,2847595/0/469267/0/684,2849216/0/478848/0/685,2850159/0/489428/0/685,2851272/0/492482/0/686,2851698/0/494056/0/686,2851951/0/499439/0/688,2852117/0/506323/0/690,2852178/0/513423/0/690,0/0/514524/0/690,0/0/514524/0/690,0/0/514524/0/690,0/0/514524/0/690,0/0/514524/0/690,0/0/514524/0/690,0/0/514524/0/690,0/0/514524/0/690,0/0/514524/0/690,0/0/514524/0/690,0/0/514524/0/690,0/0/0/0/0
Romania,RO,,,19414458,8173453/0/2909195/0/65684,8175541/0/2919461/0/65739,8176457/0/3063647/0/65999,8180367/0/3219354/0/66709,8182350/0/3268562/0/67021,8183574/0/3286735/0/67186,8183886/0/3296834/0/67276,8185912/0/3308480/0/67374,8186209/0/3325006/0/67576,8186546/0/3340342/0/67704,8187261/0/3367921/0/67858,8187668/0/3393902/0/68089,8187839/0/3404197/0/68184,8187976/0/3407485/0/68233,0/0/3409997/0/68253,0/0/3417177/0/68270,0/0/3455207/0/68341,0/0/3485792/0/68455,0/0/3501193/0/68590,0/0/3507443/0/68601,0/0/3519108/0/68676,0/0/3524271/0/68701,0/0/3526339/0/68708,0/0/3526916/0/68715,0/0/0/0/0
Russia,RU,,,143666931,81042991/294422997/18063880/0/371464,81792489/295244836/18161238/0/373404,82246152/0/18330786/0/374683,83876503/0/19244647/0/376558,85094650/0/20684948/0/379438,85859068/0/21124658/0/382302,87096991/0/21284476/0/384103,87669148/0/21490515/0/385789,87919862/0/21640952/0/387113,88341484/0/21960719/0/388126,88786250/0/22646535/0/397281,88795533/0/22855451/0/398336,88811982/0/22929149/0/399057,0/0/22959198/0/399563,88819982/0/22977274/0/399854,0/0/22989632/0/399983,89081596/0/23029404/0/400047,0/0/23098734/0/400195,0/0/23258444/0/400488,0/0/23608723/0/400967,0/0/23774451/0/401884,0/0/23957786/0/402162,0/0/24078278/0/402520,0/0/24132649/0/402705,0/0/0/0/0
Russia,RU,"Adygeya Republic",RU-AD,463453,219462/0/49413/48145/1002,220716/0/49484/48437/1003,222406/0/49637/48521/1003,223654/0/50805/49066/1004,0/0/53216/50646/1011,0/0/54126/52715/1020,0/0/54297/52867/1024,0/0/54451/53087/1027,0/0/54541/53223/1028,0/0/54772/53490/1029,0/0/55195/53930/1030,0/0/55460/54248/1033,0/0/55514/54381/1035,0/0/55525/54449/1035,0/0/55529/54474/1035,0/0/55532/54495/1035,0/0/55543/54502/1035,0/0/55562/54518/1035,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
Russia,RU,"Altai Krai",RU-ALT,2317052,1305622/0/268785/259323/8645,1316664/0/270439/261126/8678,1328173/0/272214/262419/8699,1341032/0/280320/265335/8719,0/0/301878/289437/8771,0/0/310573/300881/8819,0/0/313445/304050/8840,0/0/315913/306797/8851,0/0/317340/308136/8855,0/0/319782/310186/8859,0/0/322736/313105/8864,0/0/325135/315732/8868,0/0/326718/317534/8872,0/0/327298/318356/8876,0/0/327508/318605/8877,0/0/327761/318806/8877,0/0/328222/319205/8877,0/0/328896/319854/8878,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
Russia,RU,"Altai Republic",RU-AL,220140,129629/0/34402/33313/618,130789/0/34624/33980/621,132015/0/35029/34160/622,132736/0/37523/36397/623,0/0/39365/38492/626,0/0/39828/39097/628,0/0/39952/39253/628,0/0/40051/39354/630,0/0/40099/39404/630,0/0/40201/39497/631,0/0/40428/39696/631,0/0/40716/39957/631,0/0/40805/40090/634,0/0/40837/40139/634,0/0/40844/40150/634,0/0/40848/40156/634,0/0/40854/40156/635,0/0/40871/40171/635,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
Russia,RU,"Amur oblast",RU-AMU,790676,538961/0/107928/106733/764,545464/0/108714/107745/764,549413/0/109303/108244/764,551977/0/112866/109723/764,0/0/121537/119530/765,0/0/124000/122723/766,0/0/125193/123971/766,0/0/126919/125894/766,0/0/127553/126521/766,0/0/128654/127251/766,0/0/130286/128854/766,0/0/131592/130151/766,0/0/132393/131271/766,0/0/132886/132004/766,0/0/132990/132208/766,0/0/133087/132300/766,0/0/133173/132373/766,0/0/133319/132498/766,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
Russia,RU,"Arkhangelsk region",RU-ARK,1136387,660883/0/230262/227798/1762,666857/0/231836/229445/1764,674266/0/233604/231061/1767,679923/0/244188/238085/1768,0/0/262534/256611/1775,0/0/267785/264863/1784,0/0/269948/267258/1786,0/0/272030/269846/1792,0/0/273077/270689/1795,0/0/275834/272849/1795,0/0/280858/277383/1797,0/0/283653/281049/1799,0/0/284682/282607/1800,0/0/284917/282965/1803,0/0/285054/283120/1803,0/0/285186/283276/1803,0/0/285367/283432/1803,0/0/285741/283712/1803,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
Russia,RU,"Astrakhan oblast",RU-AST,1005967,600026/0/117128/113608/3006,606667/0/117979/114433/3015,617227/0/119938/114930/3026,624566/0/124477/117327/3051,0/0/131143/127476/3087,0/0/131933/128711/3096,0/0/132313/129072/3100,0/0/132761/129563/3109,0/0/133140/129825/3116,0/0/134354/130952/3119,0/0/135365/131991/3124,0/0/136018/132670/3131,0/0/136333/133041/3141,0/0/136559/133265/3145,0/0/136757/133504/3147,0/0/136996/133762/3151,0/0/137279/133969/3153,0/0/137855/134502/3154,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
Russia,RU,Bashkortostan,RU-BA,4037811,2693997/0/288549/282242/5684,2807951/0/290408/284285/5741,2899399/0/292061/285834/5775,2960816/0/298717/290479/5784,0/0/318318/307741/5833,0/0/330564/321420/5890,0/0/336320/328089/5931,0/0/343484/335614/5957,0/0/348134/340683/5983,0/0/354850/346600/6011,0/0/360456/351954/6031,0/0/364485/356638/6057,0/0/367975/360703/6072,0/0/369023/362020/6089,0/0/369569/362889/6102,0/0/370197/363645/6102,0/0/371307/364212/6106,0/0/373399/366212/6109,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
Russia,RU,"Belgorod Oblast",RU-BEL,1547532,1277359/0/130872/127964/2267,1282696/0/131799/129213/2278,1292207/0/132320/129623/2282,1300279/0/140159/134338/2282,0/0/154576/147840/2293,0/0/162071/158946/2305,0/0/163638/160893/2319,0/0/164625/161973/2325,0/0/165408/162650/2332,0/0/167686/164337/2334,0/0/170316/166825/2344,0/0/172484/169208/2357,0/0/173310/170339/2364,0/0/173798/171171/2370,0/0/173926/171305/2371,0/0/174025/171476/2371,0/0/174099/171544/2371,0/0/174560/171916/2371,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
Russia,RU,"Bryansk Oblast",RU-BRY,1192570,677368/0/161896/157634/4024,680586/0/162328/158122/4038,685152/0/163359/158780/4043,689527/0/170293/164014/4058,0/0/180855/174596/4079,0/0/183271/178823/4112,0/0/183883/179529/4124,0/0/184442/180106/4135,0/0/185124/180564/4137,0/0/187316/182469/4142,0/0/189553/184691/4150,0/0/190759/186242/4155,0/0/191107/186683/4157,0/0/191355/187015/4158,0/0/191481/187215/4158,0/0/191577/187341/4158,0/0/191730/187425/4158,0/0/192082/187780/4158,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
Russia,RU,"Chechen Republic",RU-CE,1476752,843705/0/43761/42523/1076,891234/0/44122/42958/1076,912357/0/44638/43476/1076,921034/0/45368/44098/1076,0/0/46240/45017/1076,0/0/46443/45311/1076,0/0/46578/45386/1076,0/0/46878/45549/1076,0/0/46996/45839/1076,0/0/47041/45936/1076,0/0/47098/45950/1076,0/0/47164/45965/1076,0/0/47221/45983/1076,0/0/47242/46080/1076,0/0/47255/46164/1076,0/0/47261/46171/1076,0/0/47294/46171/1076,0/0/47395/46182/1076,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
Russia,RU,"Chelyabinsk region",RU-CHE,3466960,2045369/0/330589/321175/7690,2062552/0/333440/323890/7771,2080927/0/336964/327428/7827,2093221/0/346894/333075/7860,0/0/374213/353847/7929,0/0/389268/378202/8072,0/0/392316/382746/8150,0/0/395112/385848/8190,0/0/396691/387510/8222,0/0/402225/391395/8261,0/0/408161/398397/8320,0/0/411275/402058/8369,0/0/412529/403778/8403,0/0/413042/404348/8418,0/0/413270/404688/8423,0/0/413519/405021/8425,0/0/414326/405504/8426,0/0/415740/406775/8435,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
Russia,RU,"Chukotka Autonomous Okrug",RU-CHU,50726,42766/0/5697/5641/42,43021/0/5719/5670/42,43435/0/5815/5714/42,43595/0/6143/5944/43,0/0/6525/6372/44,0/0/6703/6638/44,0/0/6751/6687/44,0/0/6895/6802/45,0/0/7074/6909/45,0/0/7399/7127/45,0/0/7542/7288/45,0/0/7641/7397/45,0/0/7656/7463/45,0/0/7664/7479/45,0/0/7665/7528/45,0/0/7667/7619/45,0/0/7677/7622/45,0/0/7701/7634/45,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
Russia,RU,"Chuvash Republic",RU-CU,1217820,708947/0/79990/74686/4637,719466/0/81005/75921/4650,726554/0/82228/77097/4653,731210/0/88674/81436/4663,0/0/99706/92306/4677,0/0/102099/96857/4689,0/0/103708/98191/4692,0/0/107681/102022/4697,0/0/109004/103861/4706,0/0/110404/105342/4712,0/0/112172/106935/4723,0/0/113818/108583/4730,0/0/114465/109480/4734,0/0/114822/109847/4739,0/0/115049/110228/4740,0/0/115409/110535/4740,0/0/116460/110948/4740,0/0/117911/112697/4742,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
Russia,RU,"Irkutsk oblast",RU-IRK,2390827,1409476/0/293933/284476/8460,1424345/0/295900/286690/8487,1443225/0/298579/288615/8501,1457866/0/314323/299746/8518,0/0/342331/329687/8555,0/0/350012/340274/8589,0/0/353441/343446/8644,0/0/357682/347631/8675,0/0/359854/350278/8701,0/0/363351/353302/8707,0/0/367667/357545/8727,0/0/371578/361537/8745,0/0/373230/363870/8756,0/0/373846/364839/8762,0/0/374062/365039/8765,0/0/374204/365336/8765,0/0/374452/365389/8765,0/0/374913/365854/8765,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
Russia,RU,"Ivanovo region",RU-IVA,997196,514598/0/111570/107529/3120,517486/0/112485/108657/3137,521242/0/113170/109424/3144,524279/0/115478/109666/3153,0/0/124588/116845/3167,0/0/129788/125711/3184,0/0/130679/127114/3206,0/0/131366/127894/3223,0/0/132091/128332/3236,0/0/134000/128928/3244,0/0/136512/131589/3255,0/0/138144/134089/3271,0/0/138984/135196/3280,0/0/139210/135469/3287,0/0/139295/135686/3292,0/0/139356/135792/3293,0/0/139534/135948/3293,0/0/140092/136530/3296,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
Russia,RU,"Jewish autonomous oblast",RU-YEV,158381,86626/0/18800/18128/548,87964/0/19013/18348/553,89576/0/19287/18603/555,90258/0/20061/18993/556,0/0/21666/20758/559,0/0/21959/21305/561,0/0/22078/21427/561,0/0/22284/21599/562,0/0/22332/21682/562,0/0/22455/21764/562,0/0/22597/21900/562,0/0/22810/22083/562,0/0/22973/22273/562,0/0/23019/22345/562,0/0/23023/22410/562,0/0/23031/22446/562,0/0/23040/22468/562,0/0/23069/22479/562,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
Russia,RU,"Kabardino-Balkarian Republic",RU-KB,868174,316922/0/61927/59631/1878,319376/0/62132/59931/1882,322560/0/62486/60158/1885,325066/0/66014/61616/1893,0/0/72008/67290/1907,0/0/73047/70972/1917,0/0/73367/71296/1922,0/0/73618/71605/1924,0/0/73933/71810/1926,0/0/74765/72357/1934,0/0/75419/73256/1942,0/0/75651/73588/1948,0/0/75742/73724/1948,0/0/75774/73779/1948,0/0/75779/73823/1948,0/0/75790/73823/1948,0/0/75801/73823/1948,0/0/75956/73844/1948,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
Russia,RU,"Kaliningrad Oblast",RU-KGD,1012253,683272/0/168832/166676/1917,688275/0/169383/167231/1930,694297/0/170745/167988/1935,698221/0/177314/172467/1948,0/0/186733/181620/1969,0/0/190179/187484/1989,0/0/191430/189026/2018,0/0/193401/190815/2033,0/0/195508/192555/2055,0/0/200335/196804/2074,0/0/204283/201385/2093,0/0/206041/203556/2111,0/0/206613/204244/2128,0/0/206823/204533/2140,0/0/206946/204715/2147,0/0/207086/204871/2152,0/0/207263/204972/2154,0/0/207638/205190/2155,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
Russia,RU,"Kaluga region",RU-KLU,1000070,621611/0/103955/102015/1453,626610/0/104587/102675/1453,634152/0/105432/103339/1453,639375/0/110305/104657/1453,0/0/118169/112578/1453,0/0/120711/117966/1453,0/0/121596/119546/1453,0/0/122379/120469/1453,0/0/123072/120947/1454,0/0/124986/122604/1454,0/0/126824/124648/1454,0/0/128110/126168/1455,0/0/128527/126891/1455,0/0/128739/126970/1455,0/0/128830/127308/1455,0/0/128882/127341/1455,0/0/128944/127346/1455,0/0/129213/127584/1455,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
Russia,RU,"Kamchatka Krai",RU-KAM,312438,169811/0/39937/39006/615,171640/0/40212/39340/617,173261/0/40453/39630/617,174196/0/42054/39992/621,0/0/43668/41402/624,0/0/44247/43435/625,0/0/44472/43728/625,0/0/44593/43908/625,0/0/44790/44023/626,0/0/45524/44360/629,0/0/46298/45177/629,0/0/46647/45881/629,0/0/46765/46027/629,0/0/46813/46119/629,0/0/46835/46131/629,0/0/46859/46164/629,0/0/46896/46166/629,0/0/47134/46297/629,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
Russia,RU,"Karachay-Cherkess Republic",RU-KC,465669,218634/0/46029/44893/984,223283/0/46094/44974/984,225157/0/46205/45069/984,227004/0/47263/45300/984,0/0/50067/47843/984,0/0/50858/49484/991,0/0/50965/49880/991,0/0/51075/50008/991,0/0/51197/50071/991,0/0/51797/50357/991,0/0/52269/50893/991,0/0/52470/51105/991,0/0/52507/51209/991,0/0/52513/51242/991,0/0/52519/51341/991,0/0/52532/51473/991,0/0/52537/51480/991,0/0/52576/51490/991,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
Russia,RU,"Kemerovo Oblast",RU-KEM,2657758,1499905/0/164311/160973/2395,1514036/0/166170/163176/2462,1529693/0/167678/164292/2517,1540546/0/180647/172762/2578,0/0/203076/195637/2652,0/0/208820/205195/2730,0/0/211044/207616/2790,0/0/212962/209692/2849,0/0/213805/210603/2875,0/0/216951/212778/2904,0/0/221379/216963/2954,0/0/225952/221645/2999,0/0/227817/224394/3031,0/0/228312/225122/3073,0/0/228499/225340/3085,0/0/228622/225495/3089,0/0/228870/225653/3089,0/0/229682/226253/3097,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
Russia,RU,"Khabarovsk territory",RU-KHA,1315310,774134/0/202502/200312/1553,786735/0/203717/202047/1560,795342/0/204166/202467/1560,800479/0/209629/205739/1560,0/0/220025/216877/1561,0/0/223168/221259/1564,0/0/224418/222545/1564,0/0/226265/224385/1565,0/0/227213/225406/1565,0/0/228904/226906/1565,0/0/230436/228590/1565,0/0/232026/229991/1565,0/0/233178/231408/1567,0/0/233548/231933/1567,0/0/233632/232050/1567,0/0/233711/232123/1567,0/0/233894/232250/1567,0/0/234388/232694/1567,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
Russia,RU,"Khanty-Mansi Autonomous Okrug",RU-KHM,1532243,1120612/0/210655/207765/2547,1141005/0/211316/208516/2556,1156689/0/212562/209238/2557,1165946/0/221797/213636/2560,0/0/242901/234853/2573,0/0/249345/245404/2587,0/0/251485/248177/2594,0/0/253638/250453/2598,0/0/255948/251959/2606,0/0/261753/256883/2607,0/0/265947/261933/2612,0/0/268717/265047/2617,0/0/269848/266812/2618,0/0/270238/267490/2618,0/0/270360/267702/2618,0/0/270512/267807/2618,0/0/271017/268096/2618,0/0/272198/268903/2618,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
Russia,RU,"Kirov region",RU-KIR,1262549,809058/0/151763/149252/1047,813919/0/152018/150081/1050,818259/0/152890/150581/1053,821325/0/154983/152258/1058,0/0/160012/154213/1069,0/0/163728/161140/1079,0/0/164693/162373/1091,0/0/165510/163700/1095,0/0/166159/164481/1097,0/0/166852/164678/1101,0/0/168028/165543/1102,0/0/169139/166886/1104,0/0/169835/168384/1109,0/0/170037/168501/1111,0/0/170127/168637/1111,0/0/170209/168721/1113,0/0/170338/168756/1114,0/0/170650/169286/1114,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
Russia,RU,"Komi Republic",RU-KO,820171,463436/0/171978/168194/3182,468005/0/172684/169107/3198,472827/0/173333/169806/3202,475901/0/175903/171920/3205,0/0/185335/178511/3218,0/0/189482/185047/3230,0/0/190993/186788/3244,0/0/192451/188794/3254,0/0/193123/189502/3259,0/0/194909/190601/3262,0/0/197502/193444/3269,0/0/199355/195415/3274,0/0/200075/196544/3282,0/0/200315/196941/3287,0/0/200457/197097/3289,0/0/200569/197254/3289,0/0/200734/197343/3289,0/0/201131/197584/3290,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
Russia,RU,"Kostroma oblast",RU-KOS,633392,368338/0/89086/87315/1386,370155/0/89374/87718/1403,373863/0/89651/88020/1409,376659/0/92146/88711/1414,0/0/99167/95945/1415,0/0/101940/100055/1435,0/0/102487/100762/1449,0/0/102774/101234/1463,0/0/102958/101324/1473,0/0/103396/101449/1479,0/0/104155/102413/1484,0/0/104760/102900/1489,0/0/104956/103046/1491,0/0/105007/103148/1492,0/0/105046/103343/1492,0/0/105058/103546/1492,0/0/105090/103562/1492,0/0/105123/103594/1492,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
Russia,RU,"Krasnodar region",RU-KDA,5677786,3774397/0/261045/249466/10925,3819125/0/262756/251355/10966,3859417/0/266002/253460/10980,3884955/0/293083/271014/11005,0/0/332121/315251/11039,0/0/339974/327905/11092,0/0/342170/330544/11116,0/0/343911/332506/11132,0/0/345139/333492/11145,0/0/349503/336895/11152,0/0/357476/344641/11169,0/0/361586/349728/11191,0/0/362749/351321/11202,0/0/363223/351908/11213,0/0/363578/352243/11218,0/0/364064/352724/11219,0/0/365004/353427/11221,0/0/366895/355014/11229,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
Russia,RU,"Krasnoyarsk region",RU-KYA,2867875,1758492/0/365763/353668/10834,1773038/0/366980/355249/10878,1792233/0/368348/356379/10914,1810414/0/386143/363896/10946,0/0/414689/397853/11042,0/0/420900/408229/11121,0/0/423389/411011/11165,0/0/426709/414071/11218,0/0/428162/416109/11247,0/0/431450/418984/11277,0/0/435151/422386/11301,0/0/438254/425721/11329,0/0/439566/427579/11357,0/0/440172/428469/11377,0/0/440496/428934/11383,0/0/440661/429195/11384,0/0/440804/429330/11384,0/0/441400/429750/11385,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
Russia,RU,"Kurgan region",RU-KGN,826941,577435/0/104570/102586/1435,583961/0/105121/103352/1441,589791/0/105626/103865/1444,594842/0/107934/105792/1445,0/0/117428/113196/1462,0/0/121212/118887/1491,0/0/122530/120641/1511,0/0/123715/121900/1526,0/0/124216/122400/1534,0/0/126366/123975/1550,0/0/127872/125906/1564,0/0/128784/126954/1575,0/0/129381/127559/1579,0/0/129603/127884/1585,0/0/129677/128039/1586,0/0/129741/128107/1586,0/0/129881/128185/1586,0/0/130103/128334/1586,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
Russia,RU,"Kursk oblast",RU-KRS,1103059,729495/0/118305/115214/2482,735294/0/119321/116350/2488,742647/0/120435/117404/2498,748893/0/126358/121392/2503,0/0/143620/133508/2511,0/0/148031/144853/2522,0/0/149047/146170/2529,0/0/150025/147312/2535,0/0/150603/147762/2536,0/0/151907/148667/2540,0/0/154056/150890/2540,0/0/155122/152165/2542,0/0/155622/152701/2543,0/0/155798/153161/2545,0/0/155834/153278/2545,0/0/155861/153311/2545,0/0/155903/153334/2545,0/0/156038/153435/2545,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
Russia,RU,"Leningrad region",RU-LEN,1876392,1064686/0/187725/183454/3486,1072507/0/188772/184518/3491,1086949/0/191495/186145/3493,1100065/0/209479/197922/3496,0/0/230907/220085/3497,0/0/236079/231225/3499,0/0/237731/233613/3508,0/0/240494/236246/3508,0/0/242191/237665/3509,0/0/246866/241392/3510,0/0/253496/247488/3510,0/0/257626/253149/3510,0/0/258574/254682/3510,0/0/258835/255075/3510,0/0/258914/255322/3510,0/0/259005/255428/3510,0/0/259264/255621/3510,0/0/259891/256125/3510,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
Russia,RU,"Lipetsk Oblast",RU-LIP,1139492,798790/0/151412/146877/3764,810133/0/152752/148517/3790,822794/0/153891/149684/3807,831028/0/159785/150954/3821,0/0/171655/162067/3862,0/0/174511/169990/3912,0/0/175508/171173/3928,0/0/176228/172113/3941,0/0/176818/172478/3950,0/0/179098/173967/3956,0/0/181921/177129/3968,0/0/183264/178982/3985,0/0/183630/179496/3997,0/0/183788/179719/4002,0/0/183895/179848/4004,0/0/183997/179955/4004,0/0/184085/180036/4004,0/0/184373/180243/4005,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
